City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Svetlaya,RU,46.5389,138.3297,36.5,63,91,6.6,overcast clouds
233,Iraquara,BR,-12.2486,-41.6194,78.51,33,0,5.12,clear sky
234,Muros,ES,42.7762,-9.0603,65.68,91,100,15.35,overcast clouds
235,Pisco,PE,-13.7,-76.2167,64.45,72,20,11.5,few clouds
236,Porto Novo,BJ,6.4965,2.6036,80.42,89,91,5.59,light rain
237,Kushiro,JP,42.975,144.3747,43.52,78,5,13.02,clear sky
238,Bubaque,GW,11.2833,-15.8333,81.84,77,98,11.81,overcast clouds
239,Saldanha,ZA,-33.0117,17.9442,60.53,94,95,13.13,overcast clouds
240,Asau,RO,46.4333,26.4,45.52,61,86,6.6,overcast clouds
241,Tautira,PF,-17.7333,-149.15,76.55,80,25,14.7,light rain
242,Ancud,CL,-41.8697,-73.8203,55.92,72,66,4.9,broken clouds
243,Trapani,IT,37.8333,12.6667,65.28,82,0,3.44,clear sky
244,Taoudenni,ML,22.6783,-3.9836,92.08,13,97,7.38,overcast clouds
245,Wanning,CN,18.8003,110.3967,67.91,95,100,27.85,light rain
246,Clyde River,CA,70.4692,-68.5914,21.43,79,100,11.5,overcast clouds
247,Takoradi,GH,4.8845,-1.7554,77.86,86,50,6.6,scattered clouds
248,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,12.66,clear sky
249,Pevek,RU,69.7008,170.3133,4.57,93,99,4.54,overcast clouds
250,Burnie,AU,-41.0667,145.9167,51.13,74,8,5.28,clear sky
251,Bengkulu,ID,-3.8004,102.2655,74.53,90,100,4.25,moderate rain
252,Wendelstein,DE,49.3536,11.1483,58.91,100,40,3.44,fog
253,Yurty,RU,56.0498,97.6348,38.21,89,100,5.82,overcast clouds
254,Pitimbu,BR,-7.4706,-34.8086,77.59,77,21,13.2,few clouds
255,Curvelo,BR,-18.7564,-44.4308,84.61,28,16,10.2,few clouds
256,Tabuk,PH,17.4189,121.4443,73.85,98,100,1.07,moderate rain
257,Udachnyy,RU,66.4167,112.4,16.45,92,96,5.55,overcast clouds
258,Yumen,CN,40.2833,97.2,47.64,14,88,7.83,overcast clouds
259,Bulgan,MN,48.8125,103.5347,38.93,47,92,2.33,overcast clouds
260,Moses Lake,US,47.1301,-119.2781,74.88,28,0,0.0,clear sky
261,Geraldton,AU,-28.7667,114.6,48.61,93,0,4.61,clear sky
262,Karratha,AU,-20.7377,116.8463,71.65,73,0,5.5,clear sky
263,Kralendijk,BQ,12.15,-68.2667,85.98,74,40,14.97,scattered clouds
264,Henties Bay,NA,-22.116,14.2845,58.91,88,4,5.68,clear sky
265,Sokolo,ML,14.7328,-6.1219,92.16,20,35,5.37,scattered clouds
266,Filingue,NE,14.3521,3.3168,90.63,15,13,6.29,few clouds
267,Gladstone,AU,-23.85,151.25,71.53,78,100,10.36,moderate rain
268,Turkistan,KZ,43.0,68.0,48.29,46,100,1.99,overcast clouds
269,Vestmannaeyjar,IS,63.4427,-20.2734,45.01,72,99,15.46,overcast clouds
270,Avera,US,33.194,-82.5271,59.56,25,36,16.31,scattered clouds
271,Victor Harbor,AU,-35.5667,138.6167,53.67,81,0,5.57,clear sky
272,Honiara,SB,-9.4333,159.95,81.97,76,79,4.59,broken clouds
273,Magadi,IN,12.9667,77.2333,67.12,91,95,3.78,overcast clouds
274,Macheng,CN,31.1783,115.0319,48.65,38,0,3.83,clear sky
275,Richards Bay,ZA,-28.783,32.0377,71.53,91,100,5.06,light rain
276,Bojnurd,IR,37.4747,57.329,55.35,88,100,16.11,light rain
277,Viedma,AR,-40.8135,-62.9967,70.93,35,6,17.45,clear sky
278,Ballina,AU,-28.8667,153.5667,67.01,91,100,6.35,heavy intensity rain
279,Dunedin,NZ,-45.8742,170.5036,51.71,48,44,5.5,scattered clouds
280,Kadarkut,HU,46.2362,17.6201,54.41,49,3,2.24,clear sky
281,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,88,0,5.75,clear sky
282,Pangnirtung,CA,66.1451,-65.7125,24.8,63,75,6.91,broken clouds
283,Seymchan,RU,62.8833,152.4333,13.15,74,100,17.67,overcast clouds
284,Barsovo,RU,61.1667,73.1667,41.13,93,100,11.03,overcast clouds
285,Key West,US,24.5557,-81.7826,89.6,75,20,13.8,few clouds
286,Ust-Koksa,RU,50.2696,85.6108,30.47,91,76,2.75,broken clouds
287,Ostrovnoy,RU,68.0531,39.5131,40.53,65,100,28.54,overcast clouds
288,Tondano,ID,1.3038,124.9112,68.09,91,59,0.6,broken clouds
289,Kaiyuan,CN,23.6977,103.3037,48.7,65,72,2.55,broken clouds
